LQ_AppleweedTea_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
ForestCapsCooked_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
ForestCapsDried_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
ForestCapsFresh_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
ForestCapsPlantedDormant_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
ForestCapsPlantedGrowing_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
ForestCapsPlantedMature_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
FirerootBoiled_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootCutFresh_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootDried_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootFresh_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootPlantedDormant_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootPlantedGrowing_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootPlantedMature_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootPowder_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
FirerootRoasted_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
LQ_Firewater_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
LQ_GarlicWater_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicCooked_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicDried_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicFresh_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicPlantedDormant_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicPlantedGrowing_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicPlantedMature_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
WildGarlicPowder_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
FrostleafDried_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
FrostleafFresh_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
FrostleafPlantedDormant_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
FrostleafPlantedGrowing_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
FrostleafPlantedMature_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
FrostleafPowder_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
LQ_FrostleafTea_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
TurnrootBoiled_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootDried_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootFieldGrowing_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootFieldMature_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootFresh_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootMashedBoiled_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootPlantedDormant_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootPlantedGrowing_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootPlantedMature_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootRoasted_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Medium Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Medium Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
TurnrootSeeds_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Medium Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Medium Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source."
SpiritMushroomsDried_CardHelpSection,"<b>Found:</b> Oak clearings.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Psychoactive.","<b>Found:</b> Oak clearings.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Psychoactive."
SpiritMushroomsFresh_CardHelpSection,"<b>Found:</b> Oak clearings.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Psychoactive.","<b>Found:</b> Oak clearings.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Psychoactive."
